# Soundtracks without matched cover art (248)
# Format: region | title | NSF path
# Add or identify a cover, then use the same lowercase kebab-case filename stem.

Famicom | 1999 | NES-Gamemusic/Famicom/Coconuts_Japan/1999.nsf
Famicom | After Burner II | NES-Gamemusic/Famicom/Sunsoft/After_Burner_II.nsf
Famicom | Ai Senshi Nicol | NES-Gamemusic/Famicom/Konami/Ai_Senshi_Nicol.nsf
Famicom | Akagawa Jirou no Yuurei Ressha | NES-Gamemusic/Famicom/Enix/Akagawa_Jirou_no_Yuurei_Ressha.nsf
Famicom | Akai Yousai | NES-Gamemusic/Famicom/Konami/Akai_Yousai.nsf
Famicom | Algos no Senshi | NES-Gamemusic/Famicom/Tecmo/Algos_no_Senshi.nsf
Famicom | Almana no Kiseki | NES-Gamemusic/Famicom/Konami/Almana_no_Kiseki.nsf
Famicom | America Oudan Ultra Quiz | NES-Gamemusic/Famicom/Tomy/America_Oudan_Ultra_Quiz.nsf
Famicom | Antarctic Adventure | NES-Gamemusic/Famicom/Konami/Antarctic_Adventure.nsf
Famicom | Argus | NES-Gamemusic/Famicom/Jaleco/Argus.nsf
Famicom | Armadillo | NES-Gamemusic/Famicom/IGS/Armadillo.nsf
Famicom | Armed Dragon Fantasy Villgust | NES-Gamemusic/Famicom/Angel/Armed_Dragon_Fantasy_Villgust.nsf
Famicom | Astro Robo Sasa | NES-Gamemusic/Famicom/Ascii/Astro_Robo_Sasa.nsf
Famicom | Atlantis no Nazo | NES-Gamemusic/Famicom/Sunsoft/Atlantis_no_Nazo.nsf
Famicom | B Wing | NES-Gamemusic/Famicom/Data_East/B_Wing.nsf
Famicom | Batsu and Terry | NES-Gamemusic/Famicom/Use/Batsu_and_Terry.nsf
Famicom | Big Challenge Dogfight Spirit | NES-Gamemusic/Famicom/Jaleco/Big_Challenge_Dogfight_Spirit.nsf
Famicom | Bikkuriman World | NES-Gamemusic/Famicom/Hudson_Soft/Bikkuriman_World.nsf
Famicom | Bio Miracle Boku tte Upa | NES-Gamemusic/Famicom/Konami/Bio_Miracle_Boku_tte_Upa.nsf
Famicom | Bio Senshi Dan | NES-Gamemusic/Famicom/Jaleco/Bio_Senshi_Dan.nsf
Famicom | Bokosuka Wars | NES-Gamemusic/Famicom/Ascii/Bokosuka_Wars.nsf
Famicom | Boku Dracula Kun | NES-Gamemusic/Famicom/Konami/Boku_Dracula_Kun.nsf
Famicom | BPS Tetris | NES-Gamemusic/Famicom/BPS/BPS_Tetris.nsf
Famicom | Captain Tsubasa Vol2 | NES-Gamemusic/Famicom/Tecmo/Captain_Tsubasa_Vol2.nsf
Famicom | Challenger | NES-Gamemusic/Famicom/Hudson_Soft/Challenger.nsf
Famicom | Chaos World | NES-Gamemusic/Famicom/Natsume/Chaos_World.nsf
Famicom | Chase HQ | NES-Gamemusic/Famicom/Taito/Chase_HQ.nsf
Famicom | Chou Jikuu Yousai Macross | NES-Gamemusic/Famicom/Namco/Chou_Jikuu_Yousai_Macross.nsf
Famicom | Choujin Sentai Jetman | NES-Gamemusic/Famicom/Angel/Choujin_Sentai_Jetman.nsf
Famicom | Chugoku Jangshi Story Tongpoo | NES-Gamemusic/Famicom/Natsume/Chugoku_Jangshi_Story_Tongpoo.nsf
Famicom | Cocoron | NES-Gamemusic/Famicom/Takeru/Cocoron.nsf
